50 120 480 1250
21299882 10 0 18834437 512
21365418 10 0 18834437 512
21365419 10 0 18834453 512
21496491 10 0 18834453 512
21496492 10 0 18834453 512
21562028 10 0 18834453 512
21627564 10 0 18834453 512
21627565 10 0 18834453 512
21693101 10 0 18834468 512
21758637 10 0 18834468 512
21758638 10 0 18834468 512
21758639 10 0 18834484 512
21758640 10 0 18834484 512
21824177 10 0 18834484 512
21824178 10 0 18834484 512
21824179 10 0 18834500 512
21824180 10 0 18834500 512
21824181 10 0 18834500 512
21824182 10 0 18834500 512
21824184 10 0 18834500 512
21824185 10 0 18834500 512
21824186 10 0 18834515 512
21824187 10 0 18834515 512
21824188 10 0 18834515 512
21824189 10 0 18834515 512
21824190 10 0 18834515 512
21824193 10 0 18834515 512
21824194 10 0 18834515 512
21824195 10 0 18834531 512
21824197 10 0 18834531 512
21758662 10 0 18834531 512
21758663 10 0 18834531 512
21758664 10 0 18834531 512
21693128 10 0 18834546 512
21627593 10 0 18834546 512
21562058 10 0 18834546 512
21496522 10 0 18834546 512
21365452 10 0 18834546 512
21299916 10 0 18834562 512
21168844 10 0 18834562 512
21103308 10 0 18834562 512
21037772 10 0 18834562 512
20972236 10 0 18834562 512
20906700 10 0 18834562 512
20841164 10 0 18834578 512
20775628 10 0 18834578 512
20644556 10 0 18834578 512
20513483 10 0 18834578 512
20447947 10 0 18834578 512
20316875 10 0 18834578 512
20120265 10 0 18834578 512
20054729 10 0 18834578 512
19989192 10 0 18834593 512
19858119 10 0 18834593 512
19792582 10 0 18834593 512
19727046 10 0 18834593 512
19727045 10 0 18834593 512
19595972 10 0 18834593 512
19530435 10 0 18834609 512
19399363 10 0 18834609 512
19399362 10 0 18834609 512
19333826 10 0 18834609 512
19333825 10 0 18834625 512
19333825 10 0 18834656 514
18350840 10 0 18834812 513
18219770 10 0 18834812 512
18154235 10 0 18834812 512
18154236 10 0 18834812 512
18088701 10 0 18834812 512
18088702 10 0 18834812 512
18023167 10 0 18834828 512
17957632 10 0 18834828 512
17957633 10 0 18834828 512
17892098 10 0 18834828 512
17892099 10 0 18834828 512
17892100 10 0 18834828 512
17826565 10 0 18834828 512
